empresa,actividad,cantidad
Maderera Los Robles,diesel,850
Maderera Los Robles,electricidad,1250
Maderera Los Robles,transporte,430
Maderera Los Robles,residuos,120
Maderera Austral,diesel,920
Maderera Austral,electricidad,1380
Maderera Austral,transporte,510
Maderera Austral,residuos,145
Maderera BioBio,diesel,780
Maderera BioBio,electricidad,1120
Maderera BioBio,transporte,390
Maderera BioBio,residuos,105
Maderera Andina,diesel,1050
Maderera Andina,electricidad,1520
Maderera Andina,transporte,620
Maderera Andina,residuos,180
Maderera del Sur,diesel,690
Maderera del Sur,electricidad,980
Maderera del Sur,transporte,340
Maderera del Sur,residuos,95
Maderera Araucania,diesel,880
Maderera Araucania,electricidad,1310
Maderera Araucania,transporte,470
Maderera Araucania,residuos,135
